run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.episode_reward,metrics.avg_reward,metrics.best_sliding_window_reward,params.best_property_result,tags.mlflow.runName,tags.task
rvymj0jpckwb29ey774vk2tg5xn7nq7lh6pq734ip8t0k97stii9,415583703622827156,RUNNING,file:///workspaces/coolmc/mlruns/415583703622827156/rvymj0jpckwb29ey774vk2tg5xn7nq7lh6pq734ip8t0k97stii9/artifacts,2023-01-09 13:00:46.850000+00:00,2023-01-09 12:58:22.014000+00:00,,,,, for ,safe_training
dee9629b1f764067bf9216d99f32194a,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/dee9629b1f764067bf9216d99f32194a/artifacts,2023-01-09 13:00:43.790000+00:00,2023-01-09 13:00:43.866000+00:00,,,,, for ,safe_training
rajw3awvho0tzdo2jtu9w606eaivhi3x4te8fal5s7,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/rajw3awvho0tzdo2jtu9w606eaivhi3x4te8fal5s7/artifacts,2023-01-09 12:58:11.164000+00:00,2023-01-09 12:58:22.014000+00:00,38.0,32.25,32.25,, for ,safe_training
8eef787615584fcebe2509ab2c8065b6,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/8eef787615584fcebe2509ab2c8065b6/artifacts,2023-01-09 12:57:57.180000+00:00,2023-01-09 12:58:08.055000+00:00,70.0,24.2,27.13,, for ,safe_training
5xn7nq7lh6pq734ip8t0k97stii9ytjrmqysrvf92z,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/5xn7nq7lh6pq734ip8t0k97stii9ytjrmqysrvf92z/artifacts,2023-01-09 12:56:51.181000+00:00,2023-01-09 12:57:03.422000+00:00,38.0,32.25,32.25,, for ,safe_training
9869838ae1dc4ba892ec450fc112d014,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/9869838ae1dc4ba892ec450fc112d014/artifacts,2023-01-09 12:56:37.014000+00:00,2023-01-09 12:56:48.228000+00:00,70.0,24.2,27.13,, for ,safe_training
jm0096mzkm6oscraa2rvymj0jpckwb29ey774vk2tg,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/jm0096mzkm6oscraa2rvymj0jpckwb29ey774vk2tg/artifacts,2023-01-09 12:55:56.011000+00:00,2023-01-09 12:56:17.305000+00:00,38.0,32.25,32.25,, for ,safe_training
59f11c4c101b49f3877adf42cee9b44f,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/59f11c4c101b49f3877adf42cee9b44f/artifacts,2023-01-09 12:55:33.454000+00:00,2023-01-09 12:55:51.125000+00:00,70.0,24.2,27.13,, for ,safe_training
y3pv8syca31ry1vjcywxocj9bof62q87258601mn8h,415583703622827156,RUNNING,file:///workspaces/coolmc/mlruns/415583703622827156/y3pv8syca31ry1vjcywxocj9bof62q87258601mn8h/artifacts,2023-01-09 12:55:19.686000+00:00,2023-01-09 12:55:14.808000+00:00,3.0,31.0,,, for ,safe_training
5141ca8849614cefa027823da95e0b4b,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/5141ca8849614cefa027823da95e0b4b/artifacts,2023-01-09 12:54:55.904000+00:00,2023-01-09 12:55:14.808000+00:00,70.0,24.2,27.13,, for ,safe_training
3nn7jk8vku09e99imzrzg4v6gcd3nu5hc492tfy1s4,415583703622827156,RUNNING,file:///workspaces/coolmc/mlruns/415583703622827156/3nn7jk8vku09e99imzrzg4v6gcd3nu5hc492tfy1s4/artifacts,2023-01-09 12:53:55.323000+00:00,2023-01-09 12:53:52.331000+00:00,26.0,31.708333333333332,,, for ,safe_training
367cbcbe434347538afe8592ad07d465,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/367cbcbe434347538afe8592ad07d465/artifacts,2023-01-09 12:53:41.158000+00:00,2023-01-09 12:53:52.331000+00:00,70.0,24.2,27.13,, for ,safe_training
a31ry1vjcywxocj9bof62q87258601mn8hjm0096mzkm6oscraa2,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/a31ry1vjcywxocj9bof62q87258601mn8hjm0096mzkm6oscraa2/artifacts,2023-01-09 12:52:31.940000+00:00,2023-01-09 12:52:32.008000+00:00,,,,, for ,safe_training
ba3nn7jk8vku09e99imzrzg4v6gcd3nu5hc492tfy1s4y3pv8syc,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/ba3nn7jk8vku09e99imzrzg4v6gcd3nu5hc492tfy1s4y3pv8syc/artifacts,2023-01-09 12:52:01.033000+00:00,2023-01-09 12:52:01.105000+00:00,,,,, for ,safe_training
4gvy31il812a9makhp74vy6b98brgfj4xe9qdj136cu68701kshc,415583703622827156,RUNNING,file:///workspaces/coolmc/mlruns/415583703622827156/4gvy31il812a9makhp74vy6b98brgfj4xe9qdj136cu68701kshc/artifacts,2023-01-09 12:51:19.426000+00:00,2023-01-09 12:48:55.806000+00:00,3.0,59.08,,, for ,safe_training
lf9ce2ra836u02fiishylx0jksvdsg71ox8fya61n7v29l4nitgz,415583703622827156,RUNNING,file:///workspaces/coolmc/mlruns/415583703622827156/lf9ce2ra836u02fiishylx0jksvdsg71ox8fya61n7v29l4nitgz/artifacts,2023-01-09 12:50:39.318000+00:00,2023-01-09 12:48:55.806000+00:00,56.0,99.85714285714286,,, for ,safe_training
cw29j8txffkelk01qs7s64l8uqzfusrho5h7ihy0xc460ondrywa,415583703622827156,FINISHED,file:///workspaces/coolmc/mlruns/415583703622827156/cw29j8txffkelk01qs7s64l8uqzfusrho5h7ihy0xc460ondrywa/artifacts,2023-01-09 12:50:16.714000+00:00,2023-01-09 12:50:16.776000+00:00,,,,, for ,safe_training
